Symbol,Name
MO,Altria Group
ADM,Archer-Daniels-Midland
CL,Colgate-Palmolive
KO,Coca-Cola
HRL,Hormel Foods
KMB,Kimberly-Clark
LANC,Lancaster Colony
PEP,PepsiCo
PG,Procter & Gamble
SYY,Sysco
TGT,Target
TR,Tootsie Roll Industries
UVV,Universal Corporation
WMT,Walmart
ABM,ABM Industries
ADP,Automatic Data Processing
DOV,Dover
EMR,Emerson Electric
GRC,Gorman-Rupp
ITW,Illinois Tool Works
MSA,MSA Safety
NDSN,Nordson
PH,Parker-Hannifin
SWK,Stanley Black & Decker
TNC,Tennant Company
GWW,W.W. Grainger
ABT,Abbott Laboratories
ABBV,AbbVie
BDX,Becton Dickinson
JNJ,Johnson & Johnson
KVUE,Kenvue
GPC,Genuine Parts
LOW,Lowe's
CBSH,Commerce Bancshares
CINF,Cincinnati Financial
FMCB,Farmers & Merchants Bancorp
RLI,RLI Corp
SPGI,S&P Global
UBSI,United Bankshares
FUL,H.B. Fuller
PPG,PPG Industries
NUE,Nucor
RPM,RPM International
SCL,Stepan Company
NFG,National Fuel Gas
FRT,Federal Realty Investment Trust
AWR,American States Water
BKH,Black Hills Corporation
CWT,California Water Service Group
CDUAF,Canadian Utilities
ED,Consolidated Edison
FTS,Fortis Inc
MGEE,MGE Energy
MSEX,Middlesex Water
NWN,Northwest Natural Gas
HTO,Hydro One
