Symbol,Company Name,Market Cap,Div. ($),Div. Yield,Payout Ratio,Div. Growth,Payout Freq.,Years,Div. Growth 3Y,Div. Growth 5Y,Category,fiveYearAvgDivdendYield,Trainling_5Y_avg_dividend_yield,Trainling_5Y_min_dividend_yield,Trainling_5Y_max_dividend_yield,Trainling_10Y_avg_dividend_yield,Trainling_10Y_min_dividend_yield,Trainling_10Y_max_dividend_yield,Sector,Industry,FCF_Dividend_Ratio,Debt_to_Equity,ROE,Five_y_DividendYield_diff,Ten_y_DividendYield_diff
WMT,Walmart Inc.,889.55B,0.94,0.0084,0.3287,0.1325,Quarterly,52.0,0.07980000000000001,0.0548,Aristocrat+King,0.0134,0.014073885678498453,0.007995848830137188,0.019801968333771725,0.02001285402997451,0.007995848830137188,0.03995965557345492,Consumer Defensive,Discount Stores,1.38,66.75,23.66,-0.37313432835820903,-0.5802697612535028
XOM,Exxon Mobil Corporation,502.77B,4.12,0.0346,0.5808,0.0417,Quarterly,44.0,0.0377,0.0282,Aristocrat,0.041,0.04549190206237003,0.03168091323212247,0.10329620075033627,0.05562937652337369,0.03168091323212247,0.14412845373817412,Energy,Oil & Gas Integrated,1.0,15.67,11.42,-0.1560975609756098,-0.37802646439040744
JNJ,Johnson & Johnson,500.60B,5.20,0.025,0.49670000000000003,0.046799999999999994,Quarterly,63.0,0.0438,0.0493,Aristocrat+King,0.0279,0.03047936867279872,0.02427977795423076,0.03598359089621966,0.0318353830909629,0.02427977795423076,0.041329229307453516,Healthcare,Drug Manufacturers - General,0.96,57.77,33.62,-0.10394265232974909,-0.21471025090014562
ABBV,AbbVie Inc.,406.30B,6.92,0.0301,5.0356,0.0572,Quarterly,53.0,0.0521,0.06559999999999999,Aristocrat+King+SCHD,0.0375,0.042326757000309446,0.02703695653923865,0.061057863636257766,0.050551739921826246,0.02703695653923865,0.09260156335715704,Healthcare,Drug Manufacturers - General,1.7,0.0,137.96,-0.19733333333333336,-0.4045704451212369
HD,"The Home Depot, Inc.",345.78B,9.20,0.0265,0.6275,0.0222,Quarterly,15.0,0.0658,0.0892,SCHD,0.0231,0.02543585577748719,0.01754598555164002,0.031965717837047006,0.026292239015287225,0.01754598555164002,0.04529027384872996,Consumer Cyclical,Home Improvement Retail,1.06,544.59,162.91,0.1471861471861472,0.007901989046728767
PG,The Procter & Gamble Company,337.63B,4.23,0.029300000000000003,0.6171,0.0545,Quarterly,69.0,0.045899999999999996,0.0572,Aristocrat+King,0.0243,0.026447395870473272,0.023007347161325617,0.03205634604557543,0.03139151052636947,0.023007347161325617,0.04913650028674924,Consumer Defensive,Household & Personal Products,1.23,67.12,31.9,0.20576131687242818,-0.06662662902483017
CSCO,"Cisco Systems, Inc.",308.26B,1.64,0.021,0.6333,0.025,Quarterly,15.0,0.025699999999999997,0.0264,SCHD,0.029,0.03146553519847352,0.020436137071651088,0.042253617431368164,0.03561033550622445,0.020436137071651088,0.053108889975885434,Technology,Communication Equipment,1.91,63.23,22.42,-0.27586206896551724,-0.41028356791725984
CVX,Chevron Corporation,303.04B,6.84,0.0455,0.9643999999999999,0.049100000000000005,Quarterly,38.0,0.0583,0.057999999999999996,Aristocrat+SCHD,0.0418,0.047414073529238,0.03430922726824453,0.07564907979302893,0.05376925230940067,0.03430922726824453,0.12293352656184693,Energy,Oil & Gas Integrated,1.15,21.24,7.32,0.0885167464114833,-0.15379146918051764
KO,The Coca-Cola Company,301.59B,2.04,0.0291,0.6756,0.051500000000000004,Quarterly,63.0,0.0504,0.0446,Aristocrat+King+SCHD,0.0293,0.032286589887339755,0.02761665411889208,0.03958889869186583,0.03684389400623366,0.02761665411889208,0.05203135343059083,Consumer Defensive,Beverages - Non-Alcoholic,0.16,144.77,42.44,-0.0068259385665528595,-0.2101812041073471
IBM,International Business Machines Corporation,284.68B,6.72,0.022099999999999998,0.8026000000000001,0.006,Quarterly,29.0,0.0055000000000000005,0.0058,Aristocrat,0.0416,0.04610829507781986,0.021334687172551037,0.06762831356658033,0.05278176995699837,0.021334687172551037,0.08759595541552577,Technology,Information Technology Services,1.87,237.83,30.16,-0.46875,-0.5812948292941862
CAT,Caterpillar Inc.,273.19B,6.04,0.0104,0.30469999999999997,0.0741,Quarterly,32.0,0.08039999999999999,0.0759,Aristocrat,0.0183,0.019568323989414025,0.00965457735877699,0.03130870454259312,0.0275827251263351,0.00965457735877699,0.06711259023046433,Industrials,Farm & Heavy Construction Machinery,2.23,201.05,46.28,-0.4316939890710383,-0.6229524112514027
MRK,"Merck & Co., Inc.",264.21B,3.40,0.0319,0.4341,0.0513,Quarterly,14.0,0.0542,0.0575,SCHD,0.0305,0.03383483420791749,0.02439022056106567,0.04536560493931875,0.03602027238734636,0.02439022056106567,0.051580976283975455,Healthcare,Drug Manufacturers - General,1.72,79.71,39.49,0.045901639344262245,-0.11438759660223402
MCD,McDonald's Corporation,223.14B,7.44,0.023700000000000002,0.6118,0.0575,Quarterly,50.0,0.08199999999999999,0.073,Aristocrat,0.0221,0.024068548282617168,0.021371939706529428,0.028138254589413835,0.02753298291513122,0.021371939706529428,0.04164006555057194,Consumer Cyclical,Restaurants,0.83,0.0,0.0,0.0723981900452489,-0.13921422633160227
ABT,Abbott Laboratories,217.02B,2.52,0.0202,0.3015,0.07139999999999999,Quarterly,53.0,0.07719999999999999,0.0942,Aristocrat+King,0.0172,0.018606671281632566,0.013715191386335965,0.023507444066857255,0.020397866492474902,0.013715191386335965,0.03433383109435326,Healthcare,Medical Devices,1.38,25.31,30.62,0.17441860465116274,-0.00970035236517989
PEP,"PepsiCo, Inc.",198.82B,5.69,0.039599999999999996,1.0693000000000001,0.054900000000000004,Quarterly,53.0,0.0751,0.0693,Aristocrat+King+SCHD,0.0295,0.03286854951226706,0.025722279119172076,0.04533587355231946,0.034904585050378675,0.025722279119172076,0.046584837547891625,Consumer Defensive,Beverages - Non-Alcoholic,0.92,260.19,37.16,0.34237288135593213,0.13452143730814473
LIN,Linde plc,198.41B,6.00,0.0141,0.40159999999999996,0.0791,Quarterly,33.0,0.0863,0.09269999999999999,Aristocrat,0.0132,0.014183174613236305,0.011096596018136827,0.01848346378368762,0.019265909502640153,0.011096596018136827,0.035468645950993374,Basic Materials,Specialty Chemicals,1.25,64.67,17.98,0.06818181818181816,-0.2681373283691709
AMGN,Amgen Inc.,179.83B,10.08,0.0302,0.7469,0.0581,Quarterly,16.0,0.06709999999999999,0.0805,SCHD,0.0306,0.03405776559118604,0.027557460300689934,0.04297576581121785,0.03413302773300222,0.025868695986071704,0.04297576581121785,Healthcare,Drug Manufacturers - General,2.19,567.49,81.71,-0.013071895424836522,-0.11522645350325861
VZ,Verizon Communications Inc.,170.01B,2.76,0.06849999999999999,0.5832,0.018600000000000002,Quarterly,21.0,0.019,0.0194,SCHD,0.0597,0.07058957640820518,0.05574358141734251,0.09887814842150863,0.06891953222324905,0.05489884136523769,0.09887814842150863,Communication Services,Telecom Services,1.32,164.8,19.88,0.1474036850921271,-0.006087276127906379
